state,year,State Code,Region,population,population ratio,population  region ratio,area,area density,land,land density,water,water density
Arkansas,2011,AR,South,2940667,0.00943862,0.025349152,137732,21.21485203,134771,20.75876937,2961,0.45608266
California,2011,CA,West,37638369,0.120807378,0.517093462,423967,88.02454436,403466,83.7681018,20501,4.256442563
Colorado,2011,CO,West,5121108,0.016437153,0.070356169,269601,18.72155148,268431,18.64030469,1170,0.081246788
Connecticut,2011,CT,Northeast,3588283,0.011517265,0.064532563,14357,249.2940029,12542,217.7784624,1816,31.53290446
Delaware,2011,DE,South,907381,0.002912409,0.00782181,6446,139.5583307,5047,109.2694532,1399,30.28887755
District of Columbia,2011,DC,South,619800,0.001989364,0.005342803,177,3419.355932,158,3052.306425,19,367.0495068
Florida,2011,FL,South,19053237,0.061154924,0.164242809,170312,110.6530192,138887,90.23595444,31424,20.41641502
Georgia,2011,GA,South,9802431,0.031462734,0.084498965,153910,63.10103957,148959,61.07119585,4951,2.02984372
Hawaii,2011,HI,West,1379329,0.004427214,0.018949865,28313,48.17444284,16635,28.30437808,11678,19.87006476
Idaho,2011,ID,West,1583910,0.005083855,0.021760494,216443,7.257088471,214045,7.176686249,2398,0.080402222
Illinois,2011,IL,Midwest,12867454,0.041300498,0.191600291,149995,85.60620687,143793,82.06655759,6202,3.539649289
Indiana,2011,IN,Midwest,6516528,0.020916014,0.097033077,94326,68.80851515,92789,67.68731116,1537,1.121203992
Iowa,2011,IA,Midwest,3066336,0.009841978,0.045658673,145746,20.93192952,144669,20.7772516,1077,0.15467792
Kansas,2011,KS,Midwest,2869225,0.009209314,0.04272363,213100,13.41243548,211754,13.32771873,1346,0.084716744
Kentucky,2011,KY,South,4369821,0.014025757,0.037668753,104656,41.5473647,102269,40.59975004,2387,0.947614657
Louisiana,2011,LA,South,4575625,0.014686323,0.039442825,135659,33.49967197,111898,27.63212389,23761,5.867548085
Maine,2011,ME,Northeast,1328284,0.004263376,0.023888186,91633,14.4885467,79883,12.63069611,11750,1.857850597
Maryland,2011,MD,South,5839419,0.018742706,0.050336989,32131,180.1576359,25142,140.9705046,6990,39.19273833
Massachusetts,2011,MA,Northeast,6613583,0.02122753,0.118940301,27336,240.207309,20202,177.5193173,7134,62.68799176
Michigan,2011,MI,Midwest,9882412,0.031719448,0.14715211,250487,39.43322408,146435,23.05270999,104052,16.38051409
Minnesota,2011,MN,Midwest,5346143,0.017159445,0.07960569,225163,23.58659282,206232,21.60350595,18930,1.982982116
Mississippi,2011,MS,South,2978731,0.009560794,0.025677272,125438,23.68140436,121531,22.94380294,3907,0.737601419
Missouri,2011,MO,Midwest,6010275,0.019291101,0.089494817,180540,33.21133267,178040,32.75144383,2501,0.460072798
Montana,2011,MT,West,997316,0.003201072,0.013701592,380831,2.601408499,376962,2.574979848,3869,0.026428651
Nebraska,2011,NE,Midwest,1840672,0.005907981,0.027408164,200330,9.132641142,198974,9.070823834,1356,0.061817308
Nevada,2011,NV,West,2712730,0.008707014,0.037268749,286380,9.436430617,284332,9.368947518,2048,0.067483099
New Hampshire,2011,NH,Northeast,1320202,0.004237435,0.023742837,24214,54.38019328,23187,52.07374005,1027,2.306453229
New Jersey,2011,NJ,Northeast,8828117,0.028335491,0.158767024,22591,389.5111328,19047,328.405938,3544,61.10519474
New Mexico,2011,NM,West,2080450,0.006677593,0.028582192,314917,6.555860751,314161,6.540122538,757,0.01575903
New York,2011,NY,Northeast,19499241,0.062586457,0.350679138,141297,137.2985838,122057,118.6030365,19240,18.69554734
North Carolina,2011,NC,South,9657592,0.030997846,0.083250423,139391,68.68680905,125920,62.04879078,13471,6.63801827
North Dakota,2011,ND,Midwest,685225,0.002199358,0.010203208,183108,3.684792581,178711,3.596309102,4397,0.08848348
Ohio,2011,OH,Midwest,11544663,0.037054753,0.171903532,116098,99.39306448,105829,90.60163501,10269,8.791429475
Oklahoma,2011,OK,South,3788379,0.01215951,0.032656604,181037,20.76892569,177660,20.38150951,3377,0.387416175
Oregon,2011,OR,West,3872036,0.012428023,0.053195836,254799,15.06085581,248608,14.69491341,6191,0.365942403
Pennsylvania,2011,PA,Northeast,12745815,0.040910075,0.229223867,119280,106.5657277,115883,103.5308201,3397,3.034907587
Rhode Island,2011,RI,Northeast,1053649,0.003381883,0.018949082,4001,263.423894,2678,176.3182175,1324,87.17151604
South Carolina,2011,SC,South,4671994,0.014995638,0.040273546,82933,55.89631389,77857,52.47512222,5076,3.421191677
South Dakota,2011,SD,Midwest,823579,0.002643431,0.012263341,199729,4.086367027,196350,4.017234181,3379,0.069132846
Tennessee,2011,TN,South,6399291,0.02053972,0.0551632,109153,58.22387841,106798,56.96768542,2355,1.256192992
Texas,2011,TX,South,25645629,0.082314438,0.221070579,695662,36.28482079,676587,35.28989372,19075,0.994927072
Utah,2011,UT,West,2814384,0.009033291,0.03866532,219882,12.62191539,212818,12.21641967,7064,0.405495722
Vermont,2011,VT,Northeast,627049,0.002012631,0.011277003,24906,25.12964747,23871,24.08535352,1035,1.044293951
Virginia,2011,VA,South,8101155,0.026002171,0.069833617,110787,72.42455342,102279,66.86263641,8508,5.561917017
Washington,2011,WA,West,6826627,0.021911335,0.093787385,184661,36.51464034,172119,34.0346006,12542,2.480039744
West Virginia,2011,WV,South,1856301,0.005958145,0.016001695,62756,29.54680031,62259,29.3128026,497,0.233997701
Wisconsin,2011,WI,Midwest,5705288,0.018312188,0.084953468,169635,33.54540631,140268,27.73806734,29367,5.807338976
Wyoming,2011,WY,West,567299,0.001820852,0.007793818,253335,2.228223499,251470,2.211819777,1864,0.016394926
Alabama,2012,AL,South,4815588,0.015344527,0.041074193,135767,35.2474239,131171,34.05422407,4597,1.193459439
Alaska,2012,AK,West,730443,0.002327504,0.009940999,1723337,0.41426024,1477953,0.355274195,245384,0.058986046
Arizona,2012,AZ,West,6554978,0.020886968,0.089210291,295234,21.70201264,294207,21.62652009,1026,0.07541904
Arkansas,2012,AR,South,2952164,0.009406859,0.025180259,137732,21.21485203,134771,20.75876937,2961,0.45608266
California,2012,CA,West,37948800,0.120921137,0.516466036,423967,88.02454436,403466,83.7681018,20501,4.256442563
Colorado,2012,CO,West,5192647,0.016545998,0.070669581,269601,18.72155148,268431,18.64030469,1170,0.081246788
Connecticut,2012,CT,Northeast,3594547,0.011453767,0.06444703,14357,249.2940029,12542,217.7784624,1816,31.53290446
Delaware,2012,DE,South,915179,0.002916152,0.00780595,6446,139.5583307,5047,109.2694532,1399,30.28887755
District of Columbia,2012,DC,South,634924,0.00202314,0.005415536,177,3419.355932,158,3052.306425,19,367.0495068
Florida,2012,FL,South,19297822,0.061491129,0.164599311,170312,110.6530192,138887,90.23595444,31424,20.41641502
Georgia,2012,GA,South,9901430,0.031550198,0.084453497,153910,63.10103957,148959,61.07119585,4951,2.02984372
Hawaii,2012,HI,West,1394804,0.004444443,0.018982653,28313,48.17444284,16635,28.30437808,11678,19.87006476
Idaho,2012,ID,West,1595324,0.005083386,0.021711639,216443,7.257088471,214045,7.176686249,2398,0.080402222
Illinois,2012,IL,Midwest,12882510,0.041049197,0.191314718,149995,85.60620687,143793,82.06655759,6202,3.539649289
Indiana,2012,IN,Midwest,6537703,0.020831923,0.097089683,94326,68.80851515,92789,67.68731116,1537,1.121203992
Iowa,2012,IA,Midwest,3076190,0.009802059,0.045683677,145746,20.93192952,144669,20.7772516,1077,0.15467792
