state,"Population estimates, July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2016,  (V2016)","Black or African American alone, percent, July 1, 2016,  (V2016)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Two or More Races, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2016","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2015","Total employment, 2015","Total annual payroll, 2015 ($1,000)","Total employment, percent change, 2014-2015","Total nonemployer establishments, 2015","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010"
new mexico,2081015.0,2059198.0,0.011,0.062,0.07,0.236,0.252,0.165,0.132,0.505,0.506,0.826,0.025,0.106,0.017,0.002,0.025,0.485,0.381,164157.0,0.098,917568.0,901388.0,0.681,160300.0,1227.0,327.0,777.0,4863.0,763603.0,2.67,0.857,0.357,0.842,0.263,0.101,0.108,0.591,0.549,4349672.0,11236630.0,29102352.0,10720363.0,25179274.0,12073.0,21.6,44963.0,24012.0,0.198,43793.0,626284.0,25145307.0,0.039,121279.0,151363.0,71132.0,59044.0,60622.0,83857.0,14096.0,128693.0,17.0,121298.15
new york,19745289.0,19378110.0,0.019,0.059,0.06,0.212,0.223,0.154,0.135,0.514,0.516,0.699,0.177,0.01,0.089,0.001,0.025,0.19,0.558,828586.0,0.225,8231687.0,8108103.0,0.536,283400.0,2022.0,709.0,1132.0,33711.0,7262279.0,2.63,0.891,0.304,0.856,0.342,0.074,0.07,0.633,0.587,49285508.0,155666053.0,148879931.0,341734970.0,251167736.0,12834.0,32.3,59269.0,33236.0,0.147,540298.0,7998994.0,513083321.0,0.018,1685636.0,2008988.0,1139910.0,725709.0,709021.0,1248304.0,137532.0,1811544.0,411.2,47126.4
north carolina,10146788.0,9535688.0,0.064,0.06,0.066,0.227,0.239,0.155,0.129,0.514,0.513,0.71,0.222,0.016,0.029,0.001,0.022,0.092,0.635,696119.0,0.077,4540498.0,4327528.0,0.651,154900.0,1248.0,373.0,797.0,60550.0,3775581.0,2.54,0.847,0.112,0.858,0.284,0.096,0.122,0.618,0.577,18622258.0,55227505.0,202344646.0,105275586.0,120691007.0,12376.0,23.9,46868.0,25920.0,0.154,223209.0,3670284.0,164936258.0,0.031,722639.0,805985.0,435677.0,287058.0,183380.0,603182.0,86571.0,684743.0,196.1,48617.91
north dakota,757952.0,672591.0,0.127,0.073,0.066,0.233,0.223,0.145,0.145,0.487,0.495,0.879,0.029,0.055,0.015,0.001,0.021,0.036,0.85,51179.0,0.032,368624.0,317498.0,0.641,153800.0,1243.0,423.0,709.0,3981.0,299638.0,2.32,0.822,0.056,0.917,0.277,0.068,0.081,0.693,0.65,2045123.0,5418355.0,14427360.0,28150837.0,15519816.0,22183.0,17.2,57181.0,32035.0,0.107,24848.0,365893.0,17184756.0,0.014,53263.0,68270.0,37016.0,20316.0,3190.0,62271.0,6584.0,56904.0,9.7,69000.8
ohio,11614373.0,11536727.0,0.007,0.06,0.062,0.225,0.237,0.162,0.141,0.51,0.512,0.825,0.128,0.003,0.022,0.001,0.022,0.037,0.795,806531.0,0.041,5164361.0,5127508.0,0.663,129900.0,1246.0,444.0,730.0,22816.0,4585084.0,2.46,0.853,0.067,0.891,0.261,0.099,0.066,0.633,0.59,20652777.0,80915693.0,313629976.0,155426023.0,153553997.0,13301.0,23.2,49429.0,26953.0,0.146,251668.0,4719985.0,213161303.0,0.018,763418.0,904814.0,510078.0,306824.0,122653.0,759569.0,91316.0,776193.0,282.3,40860.69
oklahoma,3923561.0,3751615.0,0.046,0.068,0.07,0.245,0.248,0.15,0.135,0.505,0.505,0.746,0.078,0.092,0.022,0.002,0.061,0.103,0.662,295847.0,0.058,1721045.0,1664378.0,0.661,117900.0,1147.0,370.0,727.0,12092.0,1455321.0,2.57,0.826,0.098,0.869,0.241,0.113,0.161,0.611,0.557,7121153.0,22795438.0,74295394.0,71892946.0,50256231.0,13174.0,21.3,46879.0,25032.0,0.163,93093.0,1370988.0,59124620.0,0.008,276218.0,327229.0,174395.0,105168.0,64875.0,249027.0,36273.0,273491.0,54.7,68594.92
oregon,4093465.0,3831072.0,0.068,0.058,0.062,0.212,0.226,0.168,0.139,0.505,0.505,0.874,0.021,0.018,0.045,0.004,0.038,0.128,0.764,306723.0,0.099,1732786.0,1675562.0,0.613,237300.0,1557.0,469.0,907.0,19586.0,1533430.0,2.51,0.819,0.151,0.898,0.308,0.102,0.073,0.621,0.576,8466788.0,24956816.0,51349948.0,48325261.0,49481054.0,12690.0,22.9,51243.0,27684.0,0.133,112393.0,1498727.0,71006598.0,0.038,278839.0,339305.0,165691.0,123015.0,41456.0,285028.0,30918.0,288790.0,39.9,95988.01
pennsylvania,12784227.0,12702857.0,0.006,0.056,0.057,0.209,0.22,0.174,0.154,0.51,0.513,0.824,0.118,0.004,0.035,0.001,0.019,0.07,0.77,870770.0,0.063,5612002.0,5567315.0,0.692,166000.0,1425.0,498.0,840.0,23303.0,4958859.0,2.49,0.88,0.106,0.892,0.286,0.095,0.067,0.628,0.583,23504192.0,96329248.0,231396178.0,191170147.0,178794945.0,14008.0,26.3,53599.0,29291.0,0.129,299695.0,5306896.0,257626942.0,0.01,811890.0,975453.0,579400.0,304803.0,131512.0,818858.0,97969.0,837792.0,283.9,44742.7
rhode island,1056426.0,1052940.0,0.003,0.052,0.055,0.197,0.213,0.165,0.144,0.514,0.517,0.844,0.081,0.01,0.036,0.002,0.027,0.149,0.733,66076.0,0.133,462589.0,463388.0,0.601,238000.0,1815.0,682.0,925.0,1226.0,410602.0,2.46,0.866,0.214,0.862,0.319,0.089,0.051,0.655,0.616,2481314.0,8223005.0,11262158.0,22310389.0,12063865.0,11486.0,24.2,56852.0,31118.0,0.128,28387.0,425748.0,19704826.0,0.01,76747.0,94642.0,54651.0,30484.0,14737.0,77042.0,9904.0,79837.0,1018.1,1033.81
south carolina,4961119.0,4625410.0,0.073,0.059,0.065,0.221,0.234,0.167,0.137,0.515,0.514,0.685,0.275,0.005,0.016,0.001,0.018,0.055,0.639,378959.0,0.048,2236153.0,2137683.0,0.686,139900.0,1183.0,347.0,790.0,32165.0,1815094.0,2.56,0.847,0.069,0.856,0.258,0.103,0.119,0.601,0.562,9763818.0,22941292.0,99160840.0,45520900.0,58093824.0,12298.0,23.9,45483.0,24604.0,0.153,103973.0,1662251.0,66120263.0,0.028,329431.0,367726.0,202446.0,131856.0,83233.0,276269.0,47987.0,303137.0,153.9,30060.7
south dakota,865454.0,814195.0,0.063,0.071,0.073,0.246,0.249,0.16,0.143,0.496,0.5,0.852,0.02,0.09,0.015,0.001,0.023,0.037,0.825,63742.0,0.03,383838.0,363438.0,0.681,140500.0,1210.0,433.0,655.0,5686.0,330858.0,2.45,0.834,0.065,0.909,0.27,0.084,0.103,0.686,0.646,1873699.0,6211731.0,16882647.0,20411059.0,13791827.0,16550.0,16.9,50957.0,26747.0,0.133,26511.0,353540.0,13812997.0,0.016,64006.0,81314.0,42418.0,23722.0,4101.0,74228.0,8604.0,66219.0,10.7,75811.0
tennessee,6651194.0,6346298.0,0.048,0.061,0.064,0.226,0.236,0.157,0.134,0.512,0.513,0.787,0.171,0.004,0.018,0.001,0.019,0.052,0.742,462414.0,0.048,2919671.0,2812133.0,0.668,142100.0,1181.0,359.0,764.0,36157.0,2504556.0,2.53,0.847,0.069,0.855,0.249,0.112,0.106,0.61,0.563,12499013.0,42383683.0,139960482.0,111718421.0,91641605.0,14194.0,24.5,45219.0,25227.0,0.158,133344.0,2507205.0,110481280.0,0.022,495703.0,550453.0,302249.0,195694.0,105234.0,434025.0,59379.0,469392.0,153.9,41234.9
texas,27862596.0,25146100.0,0.10800000000000001,0.07200000000000001,0.077,0.262,0.273,0.12,0.10300000000000001,0.504,0.504,0.794,0.126,0.01,0.048,0.001,0.019,0.391,0.426,1539655.0,0.166,10753629.0,9977436.0,0.622,136000.0,1432.0,460.0,882.0,165853.0,9149196.0,2.84,0.833,0.35,0.8190000000000001,0.276,0.081,0.18600000000000003,0.643,0.5770000000000001,54480811.0,145035130.0,702603073.0,691242607.0,356116376.0,13666.0,25.6,53207.0,26999.0,0.156,569091.0,10239710.0,521095797.0,0.032,2205149.0,2356748.0,1251696.0,866678.0,1070392.0,1224845.0,213590.0,2057218.0,96.3,261231.71
utah,3051217.0,2763888.0,0.10400000000000001,0.083,0.095,0.302,0.315,0.105,0.09,0.49700000000000005,0.498,0.9109999999999999,0.013999999999999999,0.016,0.025,0.01,0.025,0.138,0.7879999999999999,134332.0,0.084,1054164.0,979709.0,0.695,215900.0,1428.0,388.0,887.0,22662.0,906292.0,3.15,0.8290000000000001,0.147,0.912,0.311,0.066,0.09699999999999999,0.677,0.595,4789281.0,14521857.0,50046429.0,30927885.0,38024486.0,13317.0,21.6,60727.0,24686.0,0.102,75463.0,1203954.0,51453266.0,0.049,216280.0,251419.0,132163.0,76269.0,24423.0,218826.0,18754.0,219807.0,33.6,82169.62
vermont,624594.0,625741.0,-0.002,0.049,0.051,0.19,0.207,0.18100000000000002,0.146,0.506,0.507,0.946,0.013000000000000001,0.004,0.018000000000000002,,0.019,0.019,0.9309999999999999,44708.0,0.043,329525.0,322539.0,0.71,217500.0,1535.0,641.0,895.0,1771.0,257167.0,2.34,0.865,0.054000000000000006,0.9179999999999999,0.36,0.1,0.045,0.6659999999999999,0.636,1564272.0,4457996.0,9315494.0,6450076.0,9933751.0,15868.0,22.5,55176.0,29894.0,0.11900000000000001,21121.0,266363.0,10615093.0,0.02,60312.0,75827.0,41270.0,23417.0,2354.0,70491.0,8237.0,63317.0,67.9,9216.66
virginia,8411808.0,8001041.0,0.051,0.061,0.064,0.222,0.23199999999999998,0.146,0.122,0.508,0.509,0.7,0.198,0.005,0.066,0.001,0.028999999999999998,0.091,0.624,706539.0,0.11699999999999999,3491054.0,3364939.0,0.662,245000.0,1711.0,433.0,1116.0,31132.0,3062783.0,2.62,0.8440000000000001,0.154,0.883,0.363,0.077,0.10099999999999999,0.647,0.608,17795901.0,47705003.0,96389872.0,86613641.0,110002385.0,13438.0,27.9,65015.0,34152.0,0.11,197384.0,3198718.0,165788897.0,0.012,576446.0,653193.0,353012.0,236290.0,185043.0,450109.0,76434.0,548439.0,202.6,39490.09
washington,7288000.0,6724545.0,0.084,0.062,0.065,0.22399999999999998,0.235,0.14800000000000002,0.12300000000000001,0.5,0.502,0.8,0.040999999999999995,0.019,0.086,0.008,0.046,0.124,0.695,564864.0,0.134,3025685.0,2885677.0,0.625,259500.0,1731.0,511.0,1014.0,44077.0,2668912.0,2.56,0.825,0.18899999999999997,0.904,0.32899999999999996,0.08900000000000001,0.069,0.635,0.585,14297278.0,43966889.0,131530601.0,83313366.0,118924049.0,17243.0,26.3,61062.0,31762.0,0.113,182913.0,2602408.0,149258789.0,0.028999999999999998,444135.0,541522.0,262650.0,187677.0,92807.0,426697.0,49331.0,461401.0,101.2,66455.52
west virginia,1831102.0,1853011.0,-0.012,0.055,0.055999999999999994,0.205,0.209,0.188,0.16,0.505,0.507,0.9359999999999999,0.036000000000000004,0.002,0.008,,0.017,0.015,0.9229999999999999,150021.0,0.015,886640.0,881917.0,0.725,103800.0,966.0,293.0,643.0,2544.0,740890.0,2.43,0.882,0.025,0.85,0.192,0.14400000000000002,0.065,0.539,0.49200000000000005,4036333.0,12259395.0,24553072.0,14295437.0,22637923.0,12201.0,25.6,41751.0,23450.0,0.179,36993.0,565435.0,22159084.0,-0.017,88136.0,114435.0,63112.0,39065.0,5777.0,104785.0,12912.0,94960.0,77.1,24038.21
wisconsin,5778708.0,5687289.0,0.016,0.057999999999999996,0.063,0.223,0.23600000000000002,0.161,0.13699999999999998,0.503,0.504,0.875,0.066,0.011000000000000001,0.027999999999999997,0.001,0.019,0.067,0.8170000000000001,381940.0,0.048,2668444.0,2624358.0,0.6729999999999999,165800.0,1402.0,532.0,776.0,19274.0,2299107.0,2.43,0.858,0.087,0.91,0.278,0.08199999999999999,0.062,0.6709999999999999,0.635,10303256.0,40680625.0,177728926.0,77066883.0,78201822.0,13656.0,21.9,53357.0,28340.0,0.11800000000000001,139500.0,2503532.0,112406494.0,0.022000000000000002,341935.0,432980.0,236252.0,133859.0,40507.0,379934.0,39830.0,370755.0,105.0,54157.8
wyoming,585501.0,563767.0,0.039,0.065,0.071,0.237,0.24,0.15,0.124,0.489,0.49,0.9279999999999999,0.013000000000000001,0.027000000000000003,0.01,0.001,0.021,0.1,0.841,48505.0,0.036000000000000004,270600.0,261868.0,0.691,194800.0,1348.0,386.0,789.0,1727.0,226865.0,2.49,0.8190000000000001,0.071,0.9229999999999999,0.257,0.085,0.134,0.677,0.627,1644844.0,3291478.0,10783794.0,5597891.0,9446043.0,16388.0,18.3,58840.0,29803.0,0.113,21040.0,219881.0,10094010.0,,48140.0,62427.0,30039.0,19344.0,4077.0,55397.0,6470.0,51353.0,5.8,97093.14
