state,"Population estimates, July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2016,  (V2016)","Black or African American alone, percent, July 1, 2016,  (V2016)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Two or More Races, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2016","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2015","Total employment, 2015","Total annual payroll, 2015 ($1,000)","Total employment, percent change, 2014-2015","Total nonemployer establishments, 2015","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010"
hawaii,1428557.0,1360301.0,0.05,0.064,0.064,0.21600000000000003,0.223,0.171,0.14300000000000002,0.498,0.499,0.258,0.022000000000000002,0.004,0.377,0.102,0.237,0.10400000000000001,0.221,110238.0,0.177,537114.0,519508.0,0.569,515300.0,2270.0,505.0,1438.0,3369.0,450572.0,3.02,0.851,0.252,0.91,0.308,0.065,0.042,0.615,0.588,9536706.0,8136947.0,,9607982.0,18901745.0,13576.0,26.8,69515.0,29822.0,0.09300000000000001,31915.0,523677.0,22068393.0,0.009000000000000001,104707.0,118454.0,60409.0,44453.0,74208.0,38510.0,11148.0,101334.0,211.8,6422.63
idaho,1683140.0,1567650.0,0.07400000000000001,0.068,0.078,0.26,0.27399999999999997,0.151,0.124,0.499,0.499,0.9329999999999999,0.008,0.018000000000000002,0.015,0.002,0.024,0.12300000000000001,0.8240000000000001,119711.0,0.061,700825.0,667796.0,0.6890000000000001,162900.0,1189.0,340.0,743.0,12165.0,589320.0,2.69,0.8240000000000001,0.106,0.895,0.259,0.09,0.11800000000000001,0.626,0.568,2680225.0,7895614.0,20201432.0,17906012.0,20444278.0,12812.0,20.2,47583.0,23399.0,0.14400000000000002,44757.0,546524.0,21119617.0,0.03,122221.0,146642.0,70438.0,45121.0,10592.0,130973.0,12804.0,124314.0,19.0,82643.12
illinois,12801539.0,12831574.0,-0.002,0.06,0.065,0.22899999999999998,0.244,0.146,0.125,0.509,0.51,0.772,0.147,0.006,0.055,0.001,0.019,0.17,0.617,668933.0,0.14,5326970.0,5296715.0,0.664,173800.0,1636.0,574.0,907.0,22603.0,4786388.0,2.63,0.868,0.22699999999999998,0.879,0.32299999999999995,0.071,0.07400000000000001,0.6559999999999999,0.607,27937381.0,83431778.0,281037755.0,295456992.0,166634514.0,12942.0,28.4,57574.0,30494.0,0.13,318266.0,5427549.0,289183546.0,0.022000000000000002,968330.0,1135017.0,609648.0,417500.0,311684.0,795129.0,89110.0,1006885.0,231.1,55518.93
indiana,6633053.0,6484136.0,0.023,0.064,0.067,0.23800000000000002,0.248,0.149,0.13,0.507,0.508,0.856,0.09699999999999999,0.004,0.022000000000000002,0.001,0.02,0.068,0.7959999999999999,426493.0,0.048,2854546.0,2795541.0,0.69,124200.0,1102.0,378.0,745.0,18713.0,2501937.0,2.55,0.85,0.083,0.878,0.24100000000000002,0.09699999999999999,0.094,0.639,0.59,13076602.0,42493117.0,242763842.0,81173422.0,85857962.0,13133.0,23.3,49255.0,25346.0,0.141,145116.0,2660503.0,113315432.0,0.022000000000000002,403546.0,479059.0,253533.0,162798.0,61252.0,405090.0,45174.0,412543.0,181.0,35826.11
iowa,3134693.0,3046869.0,0.028999999999999998,0.064,0.066,0.233,0.239,0.16399999999999998,0.149,0.503,0.505,0.914,0.037000000000000005,0.005,0.025,0.001,0.018000000000000002,0.057999999999999996,0.862,211066.0,0.047,1380162.0,1336417.0,0.715,129200.0,1171.0,434.0,697.0,14317.0,1236409.0,2.42,0.848,0.07400000000000001,0.915,0.267,0.079,0.05,0.6759999999999999,0.633,5468687.0,18583828.0,116668830.0,62318301.0,44905624.0,14607.0,18.9,53183.0,27950.0,0.11800000000000001,80952.0,1338418.0,55079743.0,0.017,207167.0,259121.0,135382.0,82345.0,14707.0,236561.0,25889.0,217779.0,54.5,55857.13
kansas,2907289.0,2853129.0,0.019,0.067,0.07200000000000001,0.24600000000000002,0.255,0.15,0.132,0.502,0.504,0.866,0.062,0.012,0.03,0.001,0.028999999999999998,0.11599999999999999,0.763,198396.0,0.069,1259864.0,1233215.0,0.667,132000.0,1282.0,455.0,757.0,9807.0,1113472.0,2.53,0.835,0.113,0.902,0.31,0.086,0.10099999999999999,0.6629999999999999,0.616,4873411.0,18248370.0,86076260.0,60226324.0,38276461.0,13263.0,19.1,52205.0,27706.0,0.121,74526.0,1189876.0,51259676.0,0.01,195777.0,239118.0,125169.0,77194.0,26127.0,204562.0,21610.0,203401.0,34.9,81758.72
kentucky,4436974.0,4339344.0,0.022000000000000002,0.062,0.065,0.228,0.23600000000000002,0.156,0.133,0.507,0.508,0.88,0.083,0.003,0.015,0.001,0.019,0.035,0.85,297312.0,0.034,1965556.0,1927164.0,0.672,123200.0,1112.0,339.0,675.0,12714.0,1708499.0,2.5,0.847,0.051,0.8420000000000001,0.223,0.129,0.06,0.591,0.5489999999999999,7500115.0,26264745.0,129284438.0,71745899.0,54869978.0,12526.0,23.0,43740.0,24063.0,0.185,91845.0,1579477.0,63741066.0,0.028999999999999998,280835.0,331546.0,184154.0,106011.0,27258.0,296155.0,33208.0,282704.0,109.9,39486.34
louisiana,4681666.0,4533479.0,0.033,0.066,0.069,0.23800000000000002,0.247,0.14400000000000002,0.12300000000000001,0.511,0.51,0.632,0.326,0.008,0.018000000000000002,0.001,0.016,0.05,0.59,281989.0,0.04,2036975.0,1964981.0,0.6579999999999999,144100.0,1200.0,317.0,788.0,14503.0,1727919.0,2.6,0.863,0.085,0.8340000000000001,0.225,0.11,0.11900000000000001,0.604,0.56,11697949.0,27951792.0,271191050.0,68012838.0,61396364.0,13342.0,25.1,45047.0,24981.0,0.20199999999999999,105575.0,1724973.0,76684760.0,0.004,358223.0,414291.0,215111.0,151114.0,126100.0,277676.0,42211.0,354460.0,104.9,43203.9
maine,1331479.0,1328364.0,0.002,0.049,0.052000000000000005,0.191,0.207,0.19399999999999998,0.159,0.51,0.511,0.948,0.015,0.006999999999999999,0.012,,0.017,0.016,0.935,119058.0,0.035,730705.0,721830.0,0.7120000000000001,173800.0,1336.0,477.0,777.0,4010.0,553284.0,2.34,0.8590000000000001,0.066,0.9159999999999999,0.29,0.11900000000000001,0.099,0.634,0.599,2901347.0,10297043.0,16044543.0,12961262.0,21521714.0,16192.0,23.6,49331.0,27655.0,0.125,40801.0,500549.0,20413159.0,0.016,113012.0,139570.0,79243.0,42067.0,4339.0,131322.0,15689.0,115839.0,43.1,30842.92
maryland,6016447.0,5773786.0,0.042,0.061,0.063,0.22399999999999998,0.23399999999999999,0.146,0.12300000000000001,0.516,0.516,0.593,0.307,0.006,0.066,0.001,0.027999999999999997,0.098,0.515,403900.0,0.145,2447127.0,2378814.0,0.6679999999999999,286900.0,1951.0,582.0,1230.0,17044.0,2166389.0,2.67,0.866,0.172,0.894,0.379,0.071,0.07,0.679,0.6409999999999999,12516782.0,40821901.0,39532989.0,60734191.0,76379707.0,12980.0,32.3,74551.0,36897.0,0.09699999999999999,137204.0,2239817.0,118496858.0,0.01,475518.0,531953.0,276630.0,209119.0,203394.0,314902.0,50976.0,462232.0,594.8,9707.24
